 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -20.000000000000000       -20.000000000000000       -3.9897892303291136E-004  -3.9897906453291562E-004  -3.9897906453291562E-004
  -20.000000000000000       -20.000000000000000       -18.000000000000000       -4.2401894672498640E-004  -4.2401902417565744E-004  -3.8161712175809168E-004
  -20.000000000000000       -20.000000000000000       -16.000000000000000       -4.4872787559948479E-004  -4.4872798108755685E-004  -3.5898238487004549E-004
  -20.000000000000000       -20.000000000000000       -14.000000000000000       -4.7259164257963199E-004  -4.7259161459324198E-004  -3.3081413021526942E-004
  -20.000000000000000       -20.000000000000000       -12.000000000000000       -4.9503732519886321E-004  -4.9503724813565930E-004  -2.9702234888139559E-004
  -20.000000000000000       -20.000000000000000       -10.000000000000000       -5.1545463719977281E-004  -5.1545457607463042E-004  -2.5772728803731521E-004
  -20.000000000000000       -20.000000000000000       -8.0000000000000000       -5.3322678216215203E-004  -5.3322678413652430E-004  -2.1329071365460973E-004
  -20.000000000000000       -20.000000000000000       -6.0000000000000000       -5.4776756595124171E-004  -5.4776737586906916E-004  -1.6433021276072076E-004
  -20.000000000000000       -20.000000000000000       -4.0000000000000000       -5.5856368194910774E-004  -5.5856357816840864E-004  -1.1171271563368174E-004
  -20.000000000000000       -20.000000000000000       -2.0000000000000000       -5.6521269530447800E-004  -5.6521257321070877E-004  -5.6521257321070874E-005
  -20.000000000000000       -20.000000000000000        0.0000000000000000       -5.6745873753307548E-004  -5.6745888991344097E-004   0.0000000000000000     
  -20.000000000000000       -20.000000000000000        2.0000000000000000       -5.6521269530447800E-004  -5.6521257321070877E-004   5.6521257321070874E-005
  -20.000000000000000       -20.000000000000000        4.0000000000000000       -5.5856368194910774E-004  -5.5856357816840864E-004   1.1171271563368174E-004
  -20.000000000000000       -20.000000000000000        6.0000000000000000       -5.4776756595124171E-004  -5.4776737586906916E-004   1.6433021276072076E-004
  -20.000000000000000       -20.000000000000000        8.0000000000000000       -5.3322678216215203E-004  -5.3322678413652430E-004   2.1329071365460973E-004
  -20.000000000000000       -20.000000000000000        10.000000000000000       -5.1545463719977281E-004  -5.1545457607463042E-004   2.5772728803731521E-004
  -20.000000000000000       -20.000000000000000        12.000000000000000       -4.9503732519886321E-004  -4.9503724813565930E-004   2.9702234888139559E-004
  -20.000000000000000       -20.000000000000000        14.000000000000000       -4.7259164257963199E-004  -4.7259161459324198E-004   3.3081413021526942E-004
  -20.000000000000000       -20.000000000000000        16.000000000000000       -4.4872787559948479E-004  -4.4872798108755685E-004   3.5898238487004549E-004
  -20.000000000000000       -20.000000000000000        18.000000000000000       -4.2401894672498640E-004  -4.2401902417565744E-004   3.8161712175809168E-004
  -20.000000000000000       -20.000000000000000        20.000000000000000       -3.9897892303291136E-004  -3.9897906453291562E-004   3.9897906453291562E-004
  -20.000000000000000       -18.000000000000000       -20.000000000000000       -4.2401894672498624E-004  -3.8161712175809157E-004  -4.2401902417565728E-004
  -20.000000000000000       -18.000000000000000       -18.000000000000000       -4.5179217712704585E-004  -4.0661282247516050E-004  -4.0661282247516050E-004
  -20.000000000000000       -18.000000000000000       -16.000000000000000       -4.7931448804073879E-004  -4.3138306546535002E-004  -3.8345161374697776E-004
  -20.000000000000000       -18.000000000000000       -14.000000000000000       -5.0600320613861821E-004  -4.5540272732632096E-004  -3.5420212125380520E-004
  -20.000000000000000       -18.000000000000000       -12.000000000000000       -5.3120223839145538E-004  -4.7808219806395148E-004  -3.1872146537596763E-004
  -20.000000000000000       -18.000000000000000       -10.000000000000000       -5.5420337487857270E-004  -4.9878317811917071E-004  -2.7710176562176155E-004
  -20.000000000000000       -18.000000000000000       -8.0000000000000000       -5.7428562915759550E-004  -5.1685700596497766E-004  -2.2971422487332339E-004
  -20.000000000000000       -18.000000000000000       -6.0000000000000000       -5.9075925089524430E-004  -5.3168332516290205E-004  -1.7722777505430070E-004
  -20.000000000000000       -18.000000000000000       -4.0000000000000000       -6.0301425008326098E-004  -5.4271266247493113E-004  -1.2060281388331802E-004
