 |r|          <|E(r,t)|^2>
   500.00000000000000        2.1333333333173882E-017
   550.00000000000000        1.7630853994686438E-017
   600.00000000000000        1.4814814814943394E-017
   650.00000000000000        1.2623274161953586E-017
   700.00000000000000        1.0884353741614695E-017
   750.00000000000000        9.4814814814862979E-018
   800.00000000000000        8.3333333330561323E-018
   850.00000000000000        7.3817762399065709E-018
   900.00000000000000        6.5843621399568748E-018
   950.00000000000000        5.9095106186233357E-018
   1000.0000000000000        5.3333333333722126E-018
   1050.0000000000000        4.8374905518164263E-018
   1100.0000000000000        4.4077134987418304E-018
   1150.0000000000000        4.0327662256551128E-018
   1200.0000000000000        3.7037037036564439E-018
   1250.0000000000000        3.4133333334036263E-018
   1300.0000000000000        3.1558185404076531E-018
   1350.0000000000000        2.9263831732423704E-018
   1400.0000000000000        2.7210884353892319E-018
   1450.0000000000000        2.5366627031119246E-018
   1500.0000000000000        2.3703703704306058E-018
   1550.0000000000000        2.2199098162020113E-018
   1600.0000000000000        2.0833333333925219E-018
   1650.0000000000000        1.9589837771431233E-018
   1700.0000000000000        1.8454440599736618E-018
   1750.0000000000000        1.7414965986578839E-018
