 omega          <|S(r,t)|>
   2.0000000000000000        4.2441318206914124E-021
   3.0000000000000000        2.1485917342531227E-020
   4.0000000000000000        6.7906109128915752E-020
   5.0000000000000000        1.6578639923493998E-019
   6.0000000000000000        3.4377467747441734E-019
   7.0000000000000000        6.3688503135971868E-019
   8.0000000000000000        1.0864977461687097E-018
   9.0000000000000000        1.7403593050361905E-018
   10.000000000000000        2.6525823881982658E-018
   11.000000000000000        3.8836458751640334E-018
   12.000000000000000        5.5003948409513054E-018
   13.000000000000000        7.5760405600992678E-018
   14.000000000000000        1.0190160505017842E-017
   15.000000000000000        1.3428698342782960E-017
   16.000000000000000        1.7383963945401687E-017
   17.000000000000000        2.2154633366288125E-017
   18.000000000000000        2.7845748886032259E-017
   19.000000000000000        3.4568718951962545E-017
   20.000000000000000        4.2441318231135505E-017
   21.000000000000000        5.1587687569131037E-017
   22.000000000000000        6.2138334023916075E-017
   23.000000000000000        7.4230130841648163E-017
   24.000000000000000        8.8006317487252917E-017
   25.000000000000000        1.0361649960924407E-016
   26.000000000000000        1.2121664909941609E-016
   27.000000000000000        1.4096910380742327E-016
