 |r|          <|E(r,t)|^2>
   500.00000000000000        2.1333333332795472E-017
   550.00000000000000        1.7630854003687677E-017
   600.00000000000000        1.4814814819704160E-017
   650.00000000000000        1.2623274205084233E-017
   700.00000000000000        1.0884353702585644E-017
   750.00000000000000        9.4814815001706533E-018
   800.00000000000000        8.3333333459142815E-018
   850.00000000000000        7.3817762145764953E-018
   900.00000000000000        6.5843621638638923E-018
   950.00000000000000        5.9095106231455926E-018
   1000.0000000000000        5.3333333357400734E-018
   1050.0000000000000        4.8374905526167496E-018
   1100.0000000000000        4.4077135023155637E-018
   1150.0000000000000        4.0327662242455871E-018
   1200.0000000000000        3.7037037041019154E-018
   1250.0000000000000        3.4133333253660457E-018
   1300.0000000000000        3.1558185374319730E-018
   1350.0000000000000        2.9263831863844244E-018
   1400.0000000000000        2.7210884256131730E-018
   1450.0000000000000        2.5366627036933651E-018
   1500.0000000000000        2.3703703686852329E-018
   1550.0000000000000        2.2199098189152518E-018
   1600.0000000000000        2.0833333368065709E-018
   1650.0000000000000        1.9589837674549631E-018
   1700.0000000000000        1.8454440665172949E-018
   1750.0000000000000        1.7414966016071787E-018
