 omega          <|S(r,t)|>
   2.0000000000000000        4.2441318339808285E-021
   3.0000000000000000        2.1485917370048501E-020
   4.0000000000000000        6.7906109335010923E-020
   5.0000000000000000        1.6578639955914347E-019
   6.0000000000000000        3.4377467695867646E-019
   7.0000000000000000        6.3688502973911104E-019
   8.0000000000000000        1.0864977465908763E-018
   9.0000000000000000        1.7403593137496192E-018
   10.000000000000000        2.6525823977313159E-018
   11.000000000000000        3.8836458903673390E-018
   12.000000000000000        5.5003948726291337E-018
   13.000000000000000        7.5760406771800836E-018
   14.000000000000000        1.0190160629892965E-017
   15.000000000000000        1.3428698389850366E-017
   16.000000000000000        1.7383964389912928E-017
   17.000000000000000        2.2154633412763119E-017
   18.000000000000000        2.7845748560053221E-017
   19.000000000000000        3.4568719283830713E-017
   20.000000000000000        4.2441317874267577E-017
   21.000000000000000        5.1587688189788654E-017
   22.000000000000000        6.2138332793479579E-017
   23.000000000000000        7.4230132049238495E-017
   24.000000000000000        8.8006314666421560E-017
   25.000000000000000        1.0361650050561692E-016
   26.000000000000000        1.2121664745788285E-016
   27.000000000000000        1.4096910651950722E-016
